,Emp_ID,Age,Gender,City,Education_Level,Salary,Joining Designation,Designation,With_US,Quarterly Rating,Total Business Value,Last_Rating,Year_of_join,Month_of_join,Day_of_join,Attrition
3417,275,41,1,12,1,89124,1,3,24,2.875,1404074.5833333333,3,2013,5,2,0.0
24247,1841,31,1,16,1,123565,1,3,24,3.0,1365273.3333333333,2,2011,9,2,0.0
9857,757,35,1,19,1,63181,1,3,9,1.3333333333333333,468930.0,1,2014,7,11,0.0
18414,1374,33,1,24,0,88121,1,2,24,3.25,970738.3333333334,1,2015,6,9,0.0
74921,741,35,0,11,1,23034,1,1,1,1.0,0.0,1,2015,7,22,1.0
10882,832,42,0,7,1,58747,1,1,24,3.125,643336.6666666666,4,2015,6,3,0.0
22694,1718,35,0,18,1,95658,2,4,19,1.3157894736842106,538060.0,1,2010,10,2,0.0
53619,241,32,0,14,0,19466,1,1,1,1.0,0.0,1,2015,9,12,1.0
15177,1161,30,1,3,0,61247,1,2,24,2.625,974232.0833333334,1,2014,2,8,0.0
62911,2238,32,1,10,0,49650,1,1,1,1.0,0.0,1,2015,12,15,1.0
56875,375,33,0,1,0,45635,1,1,1,1.0,0.0,1,2015,8,3,1.0
9487,718,26,1,6,2,67490,1,3,24,3.0,980947.0833333334,4,2013,4,26,0.0
34558,2567,47,0,28,2,123962,1,3,24,3.25,1803127.5,2,2015,6,3,0.0
71865,2504,23,0,27,1,26949,1,1,1,1.0,0.0,1,2016,10,3,1.0
26568,2014,31,0,27,2,60967,2,2,11,2.5454545454545454,486564.54545454547,2,2017,2,7,0.0
55925,1787,37,0,8,1,41378,1,1,1,1.0,0.0,1,2015,6,7,1.0
44218,199,36,0,1,1,47011,1,1,1,1.0,0.0,1,2015,9,3,1.0
51861,1975,41,1,19,1,29743,1,1,1,1.0,0.0,1,2015,8,23,1.0
74620,1307,40,0,11,1,70389,1,1,1,1.0,0.0,1,2015,11,10,1.0
55598,2116,35,0,13,0,40537,1,1,1,1.0,0.0,1,2015,6,28,1.0
2724,210,37,1,21,2,64583,3,3,8,1.0,100317.5,1,2017,5,3,0.0
72764,1557,25,0,16,0,28123,1,1,1,1.0,0.0,1,2016,3,7,1.0
31840,2399,29,0,15,2,67326,1,1,24,2.75,489266.25,3,2015,7,3,0.0
13246,1031,45,1,26,0,68434,2,3,24,3.0,1030992.5,2,2011,11,7,0.0
68531,949,32,0,6,1,49972,1,1,1,1.0,0.0,1,2015,11,27,1.0
69847,835,32,0,20,0,65745,1,2,1,1.0,0.0,1,2015,4,14,1.0
18438,1374,34,1,24,0,88121,1,2,24,3.25,970738.3333333334,1,2015,6,9,0.0
45039,1844,25,0,15,1,47186,1,1,1,1.0,0.0,1,2015,7,28,1.0
634,56,34,0,10,2,80223,1,1,24,2.875,488477.9166666667,4,2015,7,20,0.0
58509,2530,34,0,7,1,78926,2,2,1,1.0,0.0,1,2017,3,2,1.0
73257,655,32,0,8,0,16486,1,1,1,1.0,0.0,1,2015,10,17,1.0
39474,1069,25,0,9,0,27475,1,1,1,1.0,0.0,1,2016,7,6,1.0
20968,1599,29,0,28,2,108812,3,3,6,1.0,50200.0,1,2017,7,4,0.0
33371,2505,41,1,3,0,47809,1,1,24,3.125,998331.6666666666,3,2015,8,18,0.0
75443,2149,32,0,10,1,50926,1,1,1,1.0,0.0,1,2015,8,27,1.0
49887,1935,31,0,16,1,22432,1,1,1,1.0,0.0,1,2015,7,18,1.0
55070,2042,35,0,2,0,44146,2,2,1,1.0,0.0,1,2015,11,4,1.0
59895,1211,24,0,12,0,27506,1,1,1,1.0,0.0,1,2016,8,4,1.0
36543,2696,36,0,15,0,99907,2,4,7,1.0,379618.5714285714,1,2013,8,8,0.0
7794,581,42,1,17,2,52641,1,1,24,3.0,686465.0,3,2015,1,10,0.0
16125,1213,49,1,26,2,54491,1,1,24,3.0,647383.3333333334,3,2015,9,7,0.0
19111,1444,29,0,25,2,27216,1,1,9,2.6666666666666665,467141.1111111111,3,2014,11,3,0.0
14083,1077,26,0,22,1,42768,1,1,24,3.0,595790.8333333334,2,2015,5,27,0.0
73214,2488,35,1,4,1,55659,2,2,1,1.0,0.0,1,2015,10,10,1.0
74137,912,37,1,25,0,33100,1,1,1,1.0,0.0,1,2015,3,10,1.0
15123,1161,28,1,3,0,61247,1,2,24,2.625,974232.0833333334,1,2014,2,8,0.0
27790,2110,38,1,10,1,131847,5,5,24,1.375,841131.25,1,2013,1,21,0.0
29001,2196,36,1,17,0,116383,2,4,24,2.125,1177143.75,1,2010,10,6,0.0
2625,199,29,1,5,1,87902,1,3,24,3.25,1313904.1666666667,4,2013,12,16,0.0
17433,1290,36,0,16,2,27467,1,1,17,2.0588235294117645,327377.64705882355,3,2016,8,15,0.0
59971,2649,38,0,7,1,50195,1,1,1,1.0,0.0,1,2015,11,17,1.0
4794,383,41,0,8,1,43969,1,1,15,2.0,336032.0,1,2015,9,17,0.0
71256,920,26,0,23,1,20347,1,1,1,1.0,0.0,1,2016,7,26,1.0
4331,353,31,0,9,2,33134,1,1,23,2.8260869565217392,591058.695652174,1,2015,7,15,0.0
72800,1226,28,0,10,1,12611,1,1,1,1.0,0.0,1,2015,6,12,1.0
19952,1509,35,1,19,0,79222,2,2,14,2.2857142857142856,733170.7142857143,1,2016,7,20,0.0
20668,1573,30,0,27,0,62349,1,2,24,2.875,804208.75,4,2012,7,30,0.0
42017,1506,28,0,11,0,17322,1,1,1,1.0,0.0,1,2015,8,8,1.0
46546,1088,33,1,22,0,20373,2,2,1,1.0,0.0,1,2015,7,12,1.0
58407,2065,28,0,20,0,27041,1,1,1,1.0,0.0,1,2015,9,3,1.0
16862,1259,39,1,13,0,72550,1,2,24,3.0,866362.5,3,2015,5,7,0.0
47709,966,32,1,13,1,94838,2,2,1,1.0,0.0,1,2015,8,8,1.0
75262,2484,39,0,10,1,50442,1,1,1,1.0,0.0,1,2015,10,19,1.0
37172,2732,32,0,3,1,53480,1,3,14,1.8571428571428572,478830.71428571426,1,2013,6,21,0.0
4029,329,43,0,2,0,133752,1,3,24,2.125,613214.5833333334,2,2012,7,19,0.0
25265,1893,39,1,18,0,132819,5,5,14,1.2142857142857142,119690.71428571429,1,2014,1,20,0.0
40804,1566,33,0,13,0,56841,2,2,1,1.0,0.0,1,2015,8,10,1.0
56853,1182,27,0,9,1,47050,1,1,1,1.0,0.0,1,2015,8,20,1.0
74726,1747,36,0,10,2,58540,1,1,1,1.0,0.0,1,2015,4,13,1.0
7982,594,30,1,10,1,41093,2,2,4,1.0,75977.5,1,2017,9,21,0.0
13958,1072,26,1,7,2,55648,1,1,22,2.3636363636363638,386105.0,1,2013,11,21,0.0
9940,762,34,1,19,2,35024,1,2,24,1.875,369259.5833333333,2,2013,4,26,0.0
24941,1875,44,0,11,2,74090,1,3,24,2.75,1129154.5833333333,4,2013,1,21,0.0
53970,642,33,0,10,0,16204,1,1,1,1.0,0.0,1,2015,10,19,1.0
60205,999,32,1,11,1,97733,2,2,1,1.0,0.0,1,2015,8,11,1.0
41801,1097,33,0,14,1,22930,1,1,1,1.0,0.0,1,2015,7,20,1.0
19801,1500,31,1,9,2,86551,3,3,4,1.0,31940.0,1,2017,6,13,0.0
5094,402,45,1,16,2,91279,1,3,24,3.125,1121986.6666666667,3,2012,11,29,0.0
74018,790,47,0,2,2,60067,1,1,1,1.0,0.0,1,2015,10,24,1.0
25569,1927,42,1,12,1,32043,1,3,10,1.3,270958.0,1,2014,12,11,0.0
49570,395,33,1,15,0,19460,1,1,1,1.0,0.0,1,2015,10,11,1.0
28433,2166,42,1,21,2,31780,1,1,24,2.875,566259.1666666666,3,2015,7,9,0.0
65121,994,33,1,19,1,19957,1,1,1,1.0,0.0,1,2015,9,14,1.0
11884,908,47,1,23,0,33883,1,2,22,2.1363636363636362,476970.0,2,2015,10,21,0.0
12028,926,48,1,23,1,21646,1,2,24,2.375,549891.6666666666,2,2013,1,7,0.0
55905,1641,29,1,7,0,25920,1,1,1,1.0,0.0,1,2015,6,28,1.0
53368,1697,27,0,13,1,73101,2,2,1,1.0,0.0,1,2015,10,27,1.0
41176,2293,31,1,6,1,50743,1,1,1,1.0,0.0,1,2015,10,8,1.0
35556,2625,37,1,25,1,48525,1,2,24,3.125,947444.1666666666,3,2012,8,9,0.0
42852,922,27,0,23,1,20324,1,1,1,1.0,0.0,1,2016,7,23,1.0
30009,2255,40,1,17,1,133489,3,4,24,2.625,1516587.0833333333,3,2010,11,6,0.0
67206,1862,40,0,24,0,29428,1,1,1,1.0,0.0,1,2015,8,21,1.0
26585,2018,24,1,13,1,29719,2,2,3,1.0,0.0,1,2017,10,2,0.0
38741,860,37,0,24,0,45491,1,1,1,1.0,0.0,1,2015,11,7,1.0
38712,945,30,1,21,0,20221,1,1,1,1.0,0.0,1,2015,7,15,1.0
33169,2494,45,1,19,1,48747,1,1,24,3.125,741002.0833333334,3,2015,5,25,0.0
45190,1251,27,1,18,1,45018,1,1,1,1.0,0.0,1,2015,8,8,1.0
698,57,36,0,0,0,84318,1,2,19,3.0526315789473686,1199542.6315789474,1,2014,7,26,0.0
54249,2609,38,0,8,1,50254,1,1,1,1.0,0.0,1,2015,11,18,1.0
12723,978,32,1,3,2,60185,2,2,4,1.75,277465.0,1,2016,1,5,0.0
48800,547,38,0,3,0,35047,1,1,1,1.0,0.0,1,2015,11,20,1.0
37730,2773,36,1,10,1,35607,1,1,8,1.375,70425.0,1,2016,6,21,0.0
67852,1520,24,1,17,1,44733,1,1,1,1.0,0.0,1,2015,7,12,1.0
62010,1569,35,0,7,2,22928,1,1,1,1.0,0.0,1,2015,8,9,1.0
40471,528,30,0,18,1,12417,1,1,1,1.0,0.0,1,2015,11,27,1.0
55899,1766,39,0,2,0,42477,1,1,1,1.0,0.0,1,2015,5,8,1.0
52229,326,31,0,15,0,19580,1,1,1,1.0,0.0,1,2015,9,14,1.0
36907,2725,35,1,6,0,73538,2,3,24,2.75,806539.1666666666,3,2010,10,6,0.0
46145,812,29,0,18,0,62271,1,2,1,1.0,0.0,1,2013,10,13,1.0
48924,1746,31,1,19,1,22567,1,1,1,1.0,0.0,1,2015,7,17,1.0
70699,314,31,0,23,0,21235,1,1,1,1.0,0.0,1,2015,9,22,1.0
75328,664,49,0,0,2,59707,1,1,1,1.0,0.0,1,2015,10,17,1.0
59770,2553,23,0,27,1,26774,1,1,1,1.0,0.0,1,2016,11,3,1.0
1466,98,25,1,7,1,57977,2,2,17,3.0,1259731.7647058824,2,2016,8,15,0.0
75189,1709,40,0,17,0,20931,1,1,1,1.0,0.0,1,2015,6,10,1.0
11356,879,38,1,27,1,55443,1,2,7,1.4285714285714286,369502.85714285716,1,2015,7,3,0.0
19200,1447,45,1,21,2,56478,3,3,7,2.7142857142857144,678665.7142857143,4,2017,6,5,0.0
41897,1985,36,1,16,1,51431,1,1,1,1.0,0.0,1,2015,7,16,1.0
29674,2228,54,0,19,1,79243,1,2,24,3.25,812670.0,4,2015,7,21,0.0
52549,2330,36,0,11,2,85361,2,2,1,1.0,0.0,1,2016,3,8,1.0
69761,1196,29,0,18,0,64743,1,2,1,1.0,0.0,1,2015,2,13,1.0
43319,1369,30,0,20,1,70219,1,1,1,1.0,0.0,1,2015,9,11,1.0
47966,2718,38,0,6,1,49864,1,1,1,1.0,0.0,1,2015,11,16,1.0
16925,1265,33,1,26,1,60358,1,2,24,2.125,445949.5833333333,3,2015,6,24,0.0
29746,2231,34,0,19,1,78441,2,4,12,1.75,675608.3333333334,2,2012,2,28,0.0
19393,1465,34,1,8,1,45180,3,3,3,1.0,33436.666666666664,1,2015,12,3,0.0
54464,844,30,1,17,1,13004,1,1,1,1.0,0.0,1,2015,10,27,1.0
65885,2398,37,0,22,0,15914,1,1,1,1.0,0.0,1,2015,5,15,1.0
48791,2198,33,1,6,1,12792,1,1,1,1.0,0.0,1,2015,7,18,1.0
74894,2317,34,0,6,1,40228,2,2,1,1.0,0.0,1,2015,10,28,1.0
56442,2219,28,1,17,0,66111,1,1,1,1.0,0.0,1,2015,8,23,1.0
53143,1852,29,0,12,1,28880,1,1,1,1.0,0.0,1,2016,3,13,1.0
6013,453,37,1,3,2,123361,4,4,18,2.3333333333333335,1333087.2222222222,2,2016,7,15,0.0
71974,2137,33,0,14,2,22730,1,1,1,1.0,0.0,1,2015,8,16,1.0
11088,847,30,1,3,0,40409,2,2,7,1.0,0.0,1,2016,9,26,0.0
50475,737,36,1,20,1,34696,2,2,1,1.0,0.0,1,2015,6,24,1.0
60010,1516,38,0,10,1,60770,1,1,1,1.0,0.0,1,2015,9,28,1.0
42695,1193,36,1,14,1,12775,1,1,1,1.0,0.0,1,2015,12,17,1.0
7210,559,41,1,19,1,44342,1,1,5,2.2,344524.0,3,2017,8,14,0.0
5573,434,28,0,25,2,80469,1,2,24,3.75,2153367.0833333335,4,2014,8,11,0.0
57973,1836,39,1,7,1,40145,1,1,1,1.0,0.0,1,2015,5,27,1.0
45731,696,29,0,4,1,49775,1,1,1,1.0,0.0,1,2016,11,23,1.0
58168,2184,35,1,7,1,55772,2,2,1,1.0,0.0,1,2015,7,2,1.0
12753,984,28,1,14,2,53058,1,2,16,2.3125,976682.5,1,2015,5,20,0.0
53089,590,50,0,0,2,59751,1,1,1,1.0,0.0,1,2015,10,20,1.0
26398,2007,27,0,7,1,85803,3,3,5,1.0,98720.0,1,2017,6,28,0.0
13692,1050,32,0,20,0,31915,1,1,24,2.7083333333333335,620817.0833333334,3,2015,1,7,0.0
35576,2625,38,1,25,1,48525,1,2,24,3.125,947444.1666666666,3,2012,8,9,0.0
30954,2326,32,0,17,1,71384,3,3,10,1.3,304508.0,1,2016,11,28,0.0
65458,2431,29,1,28,1,27669,1,1,1,1.0,0.0,1,2015,11,9,1.0
40915,2404,32,0,6,1,40265,2,2,1,1.0,0.0,1,2015,12,27,1.0
45896,1349,30,0,20,2,69814,1,1,1,1.0,0.0,1,2015,9,10,1.0
62351,531,35,0,18,0,46257,1,1,1,1.0,0.0,1,2015,11,18,1.0
35417,2616,28,1,7,0,53320,1,1,11,1.2727272727272727,205842.72727272726,1,2016,9,26,0.0
19846,1504,49,1,27,2,31555,2,2,24,2.875,734360.8333333334,3,2015,3,2,0.0
14944,1144,33,1,23,2,69412,2,2,8,2.875,652778.75,3,2017,5,1,0.0
42959,1017,37,0,10,1,34521,1,1,1,1.0,0.0,1,2015,3,14,1.0
64516,2333,33,0,9,2,41664,1,1,1,1.0,0.0,1,2015,10,9,1.0
60643,476,35,0,16,0,46362,1,1,1,1.0,0.0,1,2015,11,16,1.0
19607,1484,45,1,11,1,101198,2,4,24,2.75,1963536.6666666667,3,2011,9,14,0.0
47330,566,29,0,18,1,19905,1,1,1,1.0,0.0,1,2016,8,20,1.0
16340,1230,35,0,27,2,92594,3,3,8,1.75,356903.75,2,2017,5,1,0.0
66465,1493,25,1,15,0,46878,1,1,1,1.0,0.0,1,2015,8,28,1.0
44530,1630,34,0,13,0,56902,2,2,1,1.0,0.0,1,2015,9,10,1.0
47542,2158,35,1,8,1,41797,1,1,1,1.0,0.0,1,2015,8,7,1.0
40711,360,34,0,7,1,23146,1,1,1,1.0,0.0,1,2015,7,12,1.0
10711,820,38,1,5,2,59166,1,1,17,2.764705882352941,529442.3529411765,1,2015,5,23,0.0
46562,2063,25,0,23,1,28187,1,1,1,1.0,0.0,1,2016,3,8,1.0
29617,2225,37,0,0,0,28216,1,1,23,2.260869565217391,359907.82608695654,2,2014,10,11,0.0
18665,1405,32,1,3,0,119870,3,3,18,2.0,431036.1111111111,4,2016,7,7,0.0
31320,2369,30,1,5,1,14113,1,1,9,1.6666666666666667,227915.55555555556,1,2017,3,6,0.0
29342,2210,39,1,18,0,112513,1,4,21,3.2857142857142856,3159657.1428571427,4,2016,3,30,0.0
27493,2089,32,1,21,1,38201,3,3,5,1.6,190568.0,2,2017,7,31,0.0
6071,464,33,1,19,2,86072,3,3,10,1.3,145735.0,1,2016,7,16,0.0
42926,1222,29,1,6,1,35853,1,1,1,1.0,0.0,1,2015,5,21,1.0
14113,1078,38,1,17,1,31540,3,3,8,1.375,209863.75,1,2017,5,2,0.0
24587,1858,27,0,20,2,48860,1,1,18,3.1666666666666665,1489892.2222222222,2,2016,6,29,0.0
67482,1768,33,0,7,1,12501,1,1,1,1.0,0.0,1,2015,8,7,1.0
10170,776,37,0,27,0,63587,2,2,7,1.8571428571428572,259837.14285714287,2,2017,6,9,0.0
49213,1680,36,0,10,2,58624,1,1,1,1.0,0.0,1,2015,5,12,1.0
40041,2390,32,0,4,1,50976,1,1,1,1.0,0.0,1,2015,10,8,1.0
24633,1859,34,1,14,1,37209,1,1,24,3.25,715005.4166666666,4,2014,12,15,0.0
45932,211,37,1,22,1,68119,1,1,1,1.0,0.0,1,2015,9,17,1.0
23593,1783,44,1,5,1,49744,1,2,24,3.75,1432275.8333333333,4,2015,7,31,0.0
19894,1506,31,0,5,0,57107,1,1,4,1.0,0.0,1,2016,8,15,0.0
15477,1175,42,0,19,2,52588,1,1,11,2.5454545454545454,336736.36363636365,2,2014,12,6,0.0
26560,2014,31,0,27,2,60967,2,2,11,2.5454545454545454,486564.54545454547,2,2017,2,7,0.0
30296,2272,44,0,24,0,87441,2,2,23,3.4347826086956523,1950518.2608695652,4,2016,2,16,0.0
19168,1446,39,0,27,2,119932,2,4,24,2.5,1570579.5833333333,2,2012,2,9,0.0
59803,1570,25,0,13,1,45261,1,1,1,1.0,0.0,1,2015,7,11,1.0
37751,2776,27,0,19,0,54397,2,2,4,1.0,0.0,1,2016,1,4,0.0
18854,1419,34,1,15,1,17855,1,1,6,1.0,83953.33333333333,1,2017,7,10,0.0
28355,2161,39,1,10,0,32871,3,3,6,1.0,68610.0,1,2016,6,28,0.0
21829,1658,30,0,14,2,34234,1,1,14,1.8571428571428572,249220.0,2,2016,11,21,0.0
36782,2719,29,1,26,0,27634,1,1,12,1.5,150959.16666666666,1,2016,5,31,0.0
2412,176,34,1,6,1,21276,1,1,4,1.0,0.0,1,2017,5,4,0.0
31854,2402,28,1,19,2,29150,3,3,6,1.0,156533.33333333334,1,2017,7,24,0.0
41669,401,30,0,6,1,23901,1,1,1,1.0,0.0,1,2015,8,21,1.0
71724,1332,27,0,7,0,26649,1,1,1,1.0,0.0,1,2016,6,18,1.0
47090,1090,33,1,22,0,20374,2,2,1,1.0,0.0,1,2015,7,12,1.0
35951,2660,27,1,4,2,48747,1,3,24,2.75,924310.4166666666,2,2010,9,15,0.0
29959,2254,23,0,23,0,54580,1,1,5,1.0,62976.0,1,2017,8,7,0.0
66905,1771,33,0,9,0,49871,1,1,1,1.0,0.0,1,2015,11,21,1.0
52991,2603,25,1,27,1,26748,1,1,1,1.0,0.0,1,2015,11,3,1.0
14643,1111,38,1,20,2,153109,3,4,24,2.25,1735867.5,1,2010,6,2,0.0
46831,1650,31,0,20,1,39028,2,2,1,1.0,0.0,1,2015,10,13,1.0
20562,1565,36,0,28,0,30310,1,1,16,2.3125,356162.5,1,2015,10,23,0.0
45662,2265,28,1,20,0,67479,1,1,1,1.0,0.0,1,2015,9,21,1.0
16636,1243,40,0,19,2,81975,1,3,24,3.0,1047217.9166666666,4,2013,7,18,0.0
54424,1904,38,0,14,1,60377,1,1,1,1.0,0.0,1,2015,9,28,1.0
24561,1858,25,0,20,2,48860,1,1,18,3.1666666666666665,1489892.2222222222,2,2016,6,29,0.0
23080,1745,31,1,9,2,149637,2,4,24,1.75,889862.5,2,2011,12,19,0.0
28100,2137,34,0,18,2,61050,1,2,24,3.25,835063.3333333334,3,2011,11,14,0.0
51649,1454,38,0,10,1,60875,2,2,1,1.0,0.0,1,2015,10,27,1.0
28902,2192,39,1,10,0,106428,3,3,7,1.0,0.0,1,2016,10,7,0.0
20921,1595,29,1,14,0,27572,1,1,8,2.25,284110.0,3,2015,8,4,0.0
53622,311,46,0,10,1,58985,1,1,1,1.0,0.0,1,2015,10,19,1.0
19420,1469,28,1,28,1,44091,1,1,6,1.3333333333333333,125408.33333333333,2,2016,8,30,0.0
71401,1609,38,1,10,1,12657,1,1,1,1.0,0.0,1,2015,12,13,1.0
57887,2033,36,1,8,1,40726,1,1,1,1.0,0.0,1,2015,7,20,1.0
72093,1942,35,1,5,1,55620,2,2,1,1.0,0.0,1,2015,8,9,1.0
50989,1011,29,0,18,0,64110,2,2,1,1.0,0.0,1,2015,4,12,1.0
59753,705,38,0,14,0,36175,1,1,1,1.0,-50013.4933317154,1,2015,11,18,1.0
52666,1362,28,0,5,1,36182,1,1,1,1.0,0.0,1,2015,5,19,1.0
5063,401,38,0,15,1,76069,2,2,5,1.0,184270.0,1,2015,6,2,0.0
75064,1180,29,0,18,0,64680,2,2,1,1.0,0.0,1,2015,2,12,1.0
48164,82,41,1,22,1,58027,2,2,1,1.0,0.0,1,2015,10,14,1.0
13562,1043,34,1,3,0,93121,2,3,24,2.375,760343.3333333334,2,2012,5,14,0.0
49812,629,37,1,3,0,35259,1,1,1,1.0,0.0,1,2015,10,20,1.0
8898,688,45,0,5,0,22931,1,2,9,1.6666666666666667,286318.8888888889,1,2015,6,16,0.0
16641,1243,40,0,19,2,81975,1,3,24,3.0,1047217.9166666666,4,2013,7,18,0.0
70937,446,32,1,26,0,33993,1,1,1,1.0,0.0,1,2015,1,5,1.0
55957,597,33,1,17,1,19600,1,1,1,1.0,0.0,1,2015,10,13,1.0
25071,1878,30,0,25,1,43578,2,2,18,1.8333333333333333,310433.3333333333,1,2015,12,10,0.0
51254,1566,30,1,20,1,69426,1,1,1,1.0,0.0,1,2015,9,13,1.0
28370,2162,37,1,15,0,31809,1,1,17,2.0588235294117645,388157.64705882355,1,2013,5,6,0.0
50574,2021,27,0,13,1,72424,2,2,1,1.0,0.0,1,2015,10,29,1.0
75322,1852,39,0,6,0,41855,1,1,1,1.0,0.0,1,2015,5,7,1.0
1420,90,33,1,14,1,29408,2,2,5,1.0,108728.0,1,2016,11,11,0.0
59357,2047,37,1,2,0,39771,1,1,1,1.0,0.0,1,2015,6,13,1.0
9660,734,34,0,14,2,88414,3,3,15,1.8,397222.6666666667,1,2016,10,24,0.0
2560,193,46,1,18,2,59084,1,2,14,2.7142857142857144,713072.8571428572,1,2015,5,7,0.0
45513,1530,28,0,12,1,66382,1,1,1,1.0,0.0,1,2015,9,14,1.0
43972,1862,38,0,7,1,40007,2,2,1,1.0,0.0,1,2015,6,28,1.0
18296,1371,25,1,18,1,28447,1,1,24,3.25,734195.8333333334,2,2015,6,27,0.0
54626,2218,35,0,16,1,38952,2,2,1,1.0,0.0,1,2015,8,23,1.0
46949,1627,34,0,13,0,56899,2,2,1,1.0,0.0,1,2015,9,10,1.0
2961,228,44,1,25,2,53385,1,1,17,3.1176470588235294,611183.5294117647,1,2013,7,25,0.0
54649,805,34,0,12,1,23015,1,1,1,1.0,0.0,1,2015,7,21,1.0
70995,2083,34,0,8,0,44105,1,1,1,1.0,0.0,1,2015,10,10,1.0
55301,1940,33,0,17,0,79532,2,2,1,1.0,0.0,1,2015,9,6,1.0
71597,1296,34,1,8,1,55724,2,2,1,1.0,0.0,1,2016,4,4,1.0
668,56,36,0,10,2,80223,1,1,24,2.875,488477.9166666667,4,2015,7,20,0.0
41699,1074,43,0,3,2,59775,2,2,1,1.0,0.0,1,2015,10,9,1.0
55914,617,35,1,15,1,105915,2,2,1,1.0,0.0,1,2013,6,17,1.0
7338,565,37,1,20,0,56543,3,3,16,2.3125,537165.0,3,2016,9,23,0.0
18726,1411,39,1,27,1,126416,3,3,8,1.375,229203.75,2,2016,11,15,0.0
60757,1220,28,1,14,1,56382,2,2,1,1.0,0.0,1,2016,4,10,1.0
75239,1554,30,1,13,1,56238,2,2,1,1.0,0.0,1,2016,5,8,1.0
16966,1265,35,1,26,1,60358,1,2,24,2.125,445949.5833333333,3,2015,6,24,0.0
48286,1122,35,0,17,0,46363,1,1,1,1.0,0.0,1,2015,11,20,1.0
26241,1989,36,1,26,2,76388,3,3,12,1.75,386946.6666666667,2,2017,1,25,0.0
50567,2735,27,0,26,0,41721,1,1,1,1.0,0.0,1,2015,7,27,1.0
26300,1997,34,1,2,0,42408,1,2,16,2.5,496431.875,1,2015,5,19,0.0
57873,1351,28,1,8,0,44147,1,1,1,1.0,0.0,1,2015,11,13,1.0
71470,356,37,1,21,1,57600,2,2,1,1.0,0.0,1,2015,8,14,1.0
10290,787,34,1,18,0,75467,3,3,14,1.2142857142857142,143396.42857142858,1,2016,8,30,0.0
35671,2630,37,1,18,2,56808,1,2,20,2.5,593426.0,1,2012,7,23,0.0
37659,2771,39,1,3,1,91456,2,4,24,2.0,816542.5,1,2012,8,29,0.0
18736,1411,40,1,27,1,126416,3,3,8,1.375,229203.75,2,2016,11,15,0.0
54095,1606,35,0,13,1,70825,1,1,1,1.0,0.0,1,2015,10,8,1.0
22911,1733,43,1,27,2,41276,1,1,24,2.625,556937.9166666666,3,2013,4,25,0.0
43415,1657,37,1,8,0,30331,1,1,1,1.0,0.0,1,2015,6,18,1.0
11783,905,31,1,0,1,43831,2,2,4,1.0,0.0,1,2017,7,31,0.0
49005,1438,34,1,7,1,111313,2,3,1,1.0,0.0,1,2015,7,28,1.0
42229,511,38,1,3,0,35120,1,1,1,1.0,0.0,1,2015,11,20,1.0
37132,2731,43,0,14,2,27828,1,2,20,2.2,417664.0,1,2015,5,7,0.0
59891,833,30,0,14,1,11791,1,1,1,1.0,0.0,1,2015,10,25,1.0
65439,926,45,0,1,2,59550,1,1,1,1.0,0.0,1,2015,10,6,1.0
57230,2321,35,0,24,1,71177,2,2,1,1.0,0.0,1,2015,10,30,1.0
