,Attrition,Prediction
15826,0.0,0.0
66608,1.0,1.0
70600,1.0,1.0
30021,0.0,0.0
27305,0.0,0.0
19428,0.0,0.0
2169,0.0,0.0
26180,0.0,0.0
64575,1.0,1.0
4861,0.0,0.0
66414,1.0,1.0
73291,1.0,1.0
31344,0.0,0.0
13063,0.0,0.0
5426,0.0,0.0
34475,0.0,0.0
21100,0.0,0.0
36387,0.0,0.0
12700,0.0,0.0
73905,1.0,1.0
2692,0.0,0.0
19541,0.0,0.0
42527,1.0,1.0
36025,0.0,0.0
58919,1.0,1.0
15193,0.0,0.0
59958,1.0,1.0
61400,1.0,1.0
25252,0.0,0.0
22859,0.0,0.0
9185,0.0,0.0
72356,1.0,1.0
56260,1.0,1.0
62577,1.0,1.0
33889,0.0,0.0
31294,0.0,0.0
22056,0.0,0.0
65572,1.0,1.0
70732,1.0,1.0
45724,1.0,1.0
58079,1.0,1.0
48153,1.0,1.0
55608,1.0,1.0
31428,0.0,0.0
48044,1.0,1.0
62002,1.0,1.0
36266,0.0,0.0
57640,1.0,1.0
20038,0.0,0.0
35158,0.0,0.0
30349,0.0,0.0
64828,1.0,1.0
51231,1.0,1.0
21553,0.0,0.0
11594,0.0,0.0
12778,0.0,0.0
34256,0.0,0.0
69429,1.0,1.0
41193,1.0,1.0
41418,1.0,1.0
982,0.0,0.0
23556,0.0,0.0
37290,0.0,0.0
50894,1.0,1.0
25048,0.0,0.0
15799,0.0,0.0
37750,0.0,0.0
54359,1.0,1.0
3546,0.0,0.0
43700,1.0,1.0
57840,1.0,1.0
65680,1.0,1.0
38838,1.0,1.0
64137,1.0,1.0
19104,0.0,1.0
74109,1.0,1.0
16223,0.0,0.0
4640,0.0,0.0
32528,0.0,0.0
15065,0.0,0.0
16686,0.0,0.0
43346,1.0,1.0
47455,1.0,1.0
31676,0.0,0.0
46413,1.0,1.0
59488,1.0,1.0
63269,1.0,1.0
9456,0.0,0.0
62447,1.0,1.0
2353,0.0,0.0
43932,1.0,1.0
28846,0.0,0.0
16868,0.0,0.0
69956,1.0,1.0
5951,0.0,0.0
29286,0.0,0.0
34875,0.0,0.0
17663,0.0,0.0
75232,1.0,1.0
49433,1.0,1.0
37827,0.0,0.0
3119,0.0,0.0
66949,1.0,1.0
69721,1.0,1.0
35920,0.0,0.0
29486,0.0,0.0
44433,1.0,1.0
6692,0.0,0.0
49484,1.0,1.0
47357,1.0,1.0
32639,0.0,0.0
15566,0.0,0.0
26517,0.0,0.0
65216,1.0,1.0
47182,1.0,1.0
70551,1.0,1.0
51141,1.0,1.0
65549,1.0,1.0
71303,1.0,1.0
22366,0.0,0.0
31379,0.0,0.0
10538,0.0,0.0
54597,1.0,1.0
11732,0.0,0.0
9210,0.0,0.0
16007,0.0,0.0
3383,0.0,0.0
44580,1.0,1.0
38083,1.0,1.0
10918,0.0,0.0
44906,1.0,1.0
8636,0.0,0.0
39824,1.0,1.0
43476,1.0,1.0
16150,0.0,0.0
18604,0.0,0.0
20057,0.0,1.0
49430,1.0,1.0
6680,0.0,0.0
29407,0.0,0.0
1473,0.0,0.0
8387,0.0,0.0
5691,0.0,0.0
63814,1.0,1.0
50665,1.0,1.0
13403,0.0,0.0
31781,0.0,0.0
70550,1.0,1.0
70002,1.0,1.0
53464,1.0,1.0
67875,1.0,1.0
45817,1.0,1.0
41174,1.0,1.0
68013,1.0,1.0
22337,0.0,0.0
38849,1.0,1.0
60318,1.0,1.0
19046,0.0,0.0
8654,0.0,0.0
73992,1.0,1.0
24534,0.0,0.0
48182,1.0,1.0
73740,1.0,1.0
26254,0.0,0.0
6033,0.0,1.0
69364,1.0,1.0
62880,1.0,1.0
40683,1.0,1.0
74678,1.0,1.0
17784,0.0,0.0
33950,0.0,0.0
54737,1.0,1.0
15004,0.0,0.0
72281,1.0,1.0
1659,0.0,0.0
15911,0.0,0.0
15184,0.0,0.0
69015,1.0,1.0
15058,0.0,0.0
20404,0.0,0.0
54175,1.0,1.0
69067,1.0,1.0
366,0.0,0.0
61007,1.0,1.0
57703,1.0,1.0
23797,0.0,0.0
43807,1.0,1.0
63960,1.0,1.0
38990,1.0,1.0
67542,1.0,1.0
22519,0.0,0.0
59477,1.0,1.0
31476,0.0,0.0
30777,0.0,0.0
11500,0.0,0.0
72923,1.0,1.0
22866,0.0,0.0
42153,1.0,1.0
72736,1.0,1.0
33683,0.0,0.0
3990,0.0,0.0
73308,1.0,1.0
18428,0.0,0.0
2874,0.0,0.0
54312,1.0,1.0
8199,0.0,0.0
13667,0.0,0.0
71466,1.0,1.0
61808,1.0,1.0
48346,1.0,1.0
30395,0.0,0.0
49380,1.0,1.0
45641,1.0,1.0
9054,0.0,0.0
4627,0.0,0.0
16030,0.0,0.0
26202,0.0,0.0
7953,0.0,0.0
15241,0.0,0.0
37130,0.0,0.0
55335,1.0,1.0
7287,0.0,0.0
41458,1.0,1.0
17741,0.0,0.0
24998,0.0,0.0
46437,1.0,1.0
74854,1.0,1.0
9114,0.0,0.0
7583,0.0,0.0
16766,0.0,0.0
35519,0.0,0.0
66885,1.0,1.0
42161,1.0,1.0
36752,0.0,0.0
67171,1.0,1.0
50075,1.0,1.0
74782,1.0,1.0
4549,0.0,0.0
72381,1.0,1.0
5051,0.0,0.0
1806,0.0,0.0
64922,1.0,1.0
19321,0.0,0.0
48187,1.0,1.0
38265,1.0,1.0
45313,1.0,1.0
46914,1.0,1.0
62176,1.0,1.0
46268,1.0,1.0
17230,0.0,0.0
60439,1.0,1.0
13315,0.0,0.0
49551,1.0,1.0
38723,1.0,1.0
37877,1.0,1.0
33704,0.0,0.0
46476,1.0,0.0
16202,0.0,0.0
58849,1.0,1.0
19951,0.0,0.0
71095,1.0,1.0
3745,0.0,0.0
71428,1.0,1.0
17273,0.0,0.0
2793,0.0,0.0
21571,0.0,0.0
52800,1.0,1.0
45223,1.0,1.0
3658,0.0,0.0
63932,1.0,1.0
7455,0.0,0.0
10358,0.0,0.0
31495,0.0,0.0
7844,0.0,0.0
56773,1.0,1.0
24284,0.0,0.0
58245,1.0,1.0
26962,0.0,0.0
28929,0.0,0.0
22740,0.0,0.0
42357,1.0,1.0
16698,0.0,0.0
45720,1.0,1.0
31677,0.0,0.0
56262,1.0,1.0
19079,0.0,0.0
3721,0.0,0.0
20610,0.0,0.0
65346,1.0,1.0
22779,0.0,0.0
73501,1.0,1.0
49192,1.0,1.0
56151,1.0,1.0
4461,0.0,0.0
13910,0.0,0.0
25913,0.0,0.0
65846,1.0,1.0
54610,1.0,1.0
29863,0.0,0.0
49496,1.0,1.0
23922,0.0,0.0
71797,1.0,1.0
49794,1.0,1.0
36707,0.0,0.0
45634,1.0,1.0
34450,0.0,0.0
49124,1.0,1.0
11125,0.0,0.0
1717,0.0,0.0
65069,1.0,1.0
23568,0.0,0.0
54256,1.0,1.0
61939,1.0,1.0
1023,0.0,0.0
1112,0.0,0.0
3448,0.0,0.0
23949,0.0,0.0
71018,1.0,1.0
57892,1.0,1.0
60249,1.0,1.0
43162,1.0,1.0
10763,0.0,0.0
22424,0.0,0.0
35403,0.0,0.0
6166,0.0,0.0
12266,0.0,0.0
34640,0.0,0.0
67808,1.0,1.0
26111,0.0,0.0
74097,1.0,1.0
42975,1.0,1.0
48616,1.0,1.0
52262,1.0,1.0
2749,0.0,0.0
45688,1.0,1.0
63629,1.0,1.0
58227,1.0,1.0
72233,1.0,1.0
4677,0.0,0.0
38043,1.0,1.0
40980,1.0,1.0
70626,1.0,1.0
26322,0.0,0.0
59514,1.0,1.0
40788,1.0,1.0
61754,1.0,1.0
28637,0.0,0.0
14325,0.0,0.0
33610,0.0,0.0
49590,1.0,1.0
5006,0.0,0.0
66482,1.0,1.0
539,0.0,0.0
6366,0.0,0.0
11285,0.0,0.0
64969,1.0,1.0
52,0.0,0.0
37758,0.0,0.0
48758,1.0,1.0
49141,1.0,1.0
46629,1.0,1.0
74319,1.0,1.0
37731,0.0,0.0
75039,1.0,1.0
31057,0.0,1.0
42991,1.0,1.0
16513,0.0,0.0
46722,1.0,1.0
15606,0.0,0.0
31999,0.0,0.0
47625,1.0,1.0
60776,1.0,1.0
69633,1.0,1.0
7303,0.0,0.0
7952,0.0,0.0
19899,0.0,0.0
46901,1.0,1.0
19954,0.0,0.0
5803,0.0,0.0
33641,0.0,0.0
32485,0.0,0.0
55495,1.0,1.0
52177,1.0,1.0
72485,1.0,1.0
50564,1.0,1.0
47875,1.0,1.0
43897,1.0,1.0
56815,1.0,1.0
15843,0.0,0.0
37700,0.0,0.0
11874,0.0,0.0
11739,0.0,0.0
36917,0.0,0.0
27381,0.0,0.0
13635,0.0,0.0
1516,0.0,0.0
16711,0.0,0.0
57125,1.0,1.0
36977,0.0,0.0
71901,1.0,1.0
31680,0.0,0.0
13394,0.0,0.0
42279,1.0,1.0
40174,1.0,1.0
51375,1.0,1.0
33490,0.0,0.0
54970,1.0,1.0
35623,0.0,0.0
55092,1.0,1.0
13305,0.0,0.0
33078,0.0,0.0
5837,0.0,0.0
4088,0.0,0.0
49646,1.0,1.0
20629,0.0,0.0
67445,1.0,1.0
63994,1.0,1.0
28874,0.0,0.0
22262,0.0,0.0
65507,1.0,1.0
39711,1.0,1.0
64338,1.0,1.0
16605,0.0,0.0
10282,0.0,0.0
36287,0.0,0.0
35977,0.0,0.0
42016,1.0,1.0
32130,0.0,0.0
26354,0.0,0.0
64026,1.0,1.0
34485,0.0,0.0
52843,1.0,1.0
49010,1.0,1.0
21115,0.0,0.0
20689,0.0,0.0
68282,1.0,1.0
26736,0.0,0.0
6143,0.0,0.0
8920,0.0,0.0
46682,1.0,1.0
73312,1.0,1.0
47146,1.0,1.0
17905,0.0,0.0
54763,1.0,1.0
10338,0.0,0.0
50378,1.0,1.0
14416,0.0,0.0
37720,0.0,0.0
3171,0.0,0.0
73002,1.0,1.0
46619,1.0,1.0
30495,0.0,0.0
62450,1.0,1.0
31910,0.0,0.0
52329,1.0,1.0
67959,1.0,1.0
24768,0.0,0.0
64386,1.0,1.0
72069,1.0,1.0
1884,0.0,0.0
29978,0.0,0.0
19813,0.0,0.0
13091,0.0,0.0
13998,0.0,0.0
38007,1.0,1.0
21495,0.0,0.0
19791,0.0,0.0
35298,0.0,0.0
25237,0.0,0.0
33243,0.0,0.0
35847,0.0,0.0
8258,0.0,0.0
46532,1.0,1.0
67376,1.0,1.0
65274,1.0,1.0
63787,1.0,1.0
47423,1.0,1.0
32264,0.0,0.0
36245,0.0,0.0
7703,0.0,0.0
62540,1.0,1.0
67218,1.0,1.0
21837,0.0,0.0
46328,1.0,1.0
5878,0.0,0.0
17216,0.0,0.0
56193,1.0,1.0
6879,0.0,0.0
39584,1.0,1.0
65199,1.0,1.0
26475,0.0,0.0
23011,0.0,0.0
33891,0.0,0.0
11320,0.0,0.0
20963,0.0,0.0
65958,1.0,1.0
23790,0.0,0.0
3378,0.0,0.0
37450,0.0,0.0
36024,0.0,0.0
25525,0.0,0.0
34216,0.0,0.0
69382,1.0,1.0
42805,1.0,1.0
60373,1.0,1.0
19883,0.0,0.0
36189,0.0,0.0
16580,0.0,0.0
2785,0.0,0.0
52985,1.0,1.0
14615,0.0,0.0
622,0.0,0.0
67344,1.0,1.0
51953,1.0,1.0
52835,1.0,1.0
69789,1.0,1.0
2068,0.0,0.0
49463,1.0,1.0
62937,1.0,0.0
14780,0.0,0.0
57323,1.0,1.0
12985,0.0,0.0
48415,1.0,1.0
41138,1.0,1.0
54438,1.0,1.0
10647,0.0,0.0
464,0.0,0.0
43562,1.0,0.0
39475,1.0,1.0
23465,0.0,0.0
60759,1.0,1.0
72437,1.0,1.0
30435,0.0,0.0
23520,0.0,0.0
38461,1.0,1.0
1673,0.0,0.0
73141,1.0,1.0
23887,0.0,0.0
4064,0.0,0.0
33468,0.0,1.0
13518,0.0,0.0
33877,0.0,0.0
64689,1.0,1.0
72472,1.0,1.0
13602,0.0,0.0
41491,1.0,1.0
42586,1.0,1.0
39715,1.0,1.0
29802,0.0,0.0
27911,0.0,0.0
41503,1.0,1.0
31809,0.0,0.0
49749,1.0,1.0
12968,0.0,0.0
67508,1.0,1.0
29860,0.0,0.0
11541,0.0,0.0
49162,1.0,1.0
46160,1.0,1.0
15438,0.0,0.0
37660,0.0,0.0
69370,1.0,1.0
8317,0.0,0.0
25454,0.0,0.0
8405,0.0,0.0
45417,1.0,1.0
75001,1.0,1.0
62603,1.0,1.0
29639,0.0,0.0
63910,1.0,1.0
58235,1.0,1.0
14245,0.0,0.0
51134,1.0,1.0
33077,0.0,0.0
66102,1.0,1.0
70220,1.0,1.0
11017,0.0,0.0
25019,0.0,0.0
21464,0.0,0.0
71905,1.0,1.0
38881,1.0,1.0
71640,1.0,1.0
34277,0.0,0.0
59997,1.0,1.0
2980,0.0,0.0
41802,1.0,1.0
39389,1.0,1.0
37235,0.0,0.0
10121,0.0,0.0
11918,0.0,0.0
53122,1.0,1.0
16845,0.0,0.0
40219,1.0,1.0
61509,1.0,1.0
24085,0.0,0.0
18282,0.0,0.0
43451,1.0,1.0
67416,1.0,1.0
1606,0.0,0.0
57797,1.0,1.0
43007,1.0,1.0
18872,0.0,0.0
26855,0.0,0.0
11160,0.0,0.0
75451,1.0,1.0
47393,1.0,1.0
56157,1.0,1.0
44052,1.0,1.0
19584,0.0,0.0
37846,0.0,0.0
7110,0.0,0.0
1003,0.0,0.0
42068,1.0,1.0
72705,1.0,1.0
49902,1.0,1.0
63718,1.0,1.0
42763,1.0,1.0
39895,1.0,1.0
46154,1.0,1.0
42181,1.0,1.0
73373,1.0,1.0
62614,1.0,1.0
39239,1.0,1.0
54953,1.0,1.0
28050,0.0,0.0
66021,1.0,1.0
70668,1.0,1.0
24338,0.0,0.0
56903,1.0,1.0
70991,1.0,1.0
58631,1.0,1.0
18316,0.0,0.0
63855,1.0,1.0
28202,0.0,0.0
41769,1.0,1.0
55806,1.0,1.0
4721,0.0,0.0
22609,0.0,0.0
49251,1.0,1.0
57375,1.0,1.0
37159,0.0,0.0
64179,1.0,1.0
21294,0.0,0.0
25538,0.0,0.0
64184,1.0,1.0
46496,1.0,1.0
49156,1.0,1.0
1066,0.0,0.0
43164,1.0,1.0
58762,1.0,1.0
14689,0.0,0.0
54290,1.0,1.0
63034,1.0,1.0
43683,1.0,1.0
34796,0.0,0.0
47564,1.0,1.0
30048,0.0,0.0
9569,0.0,0.0
39324,1.0,1.0
66722,1.0,1.0
74519,1.0,1.0
48093,1.0,1.0
39455,1.0,1.0
10405,0.0,0.0
372,0.0,0.0
22445,0.0,0.0
38085,1.0,1.0
9316,0.0,0.0
42495,1.0,1.0
58922,1.0,1.0
7259,0.0,0.0
52542,1.0,1.0
29447,0.0,0.0
57265,1.0,1.0
4990,0.0,0.0
60801,1.0,1.0
822,0.0,0.0
55411,1.0,1.0
52976,1.0,1.0
28926,0.0,0.0
45029,1.0,1.0
68671,1.0,1.0
3832,0.0,0.0
19852,0.0,0.0
58003,1.0,1.0
38561,1.0,1.0
41257,1.0,1.0
65539,1.0,1.0
49466,1.0,1.0
21418,0.0,0.0
6268,0.0,0.0
67208,1.0,1.0
46523,1.0,1.0
51935,1.0,1.0
33134,0.0,0.0
44134,1.0,1.0
8915,0.0,0.0
10295,0.0,0.0
13106,0.0,0.0
52076,1.0,1.0
53634,1.0,1.0
51205,1.0,1.0
15652,0.0,0.0
50343,1.0,1.0
53366,1.0,1.0
40754,1.0,1.0
28546,0.0,0.0
62184,1.0,1.0
9744,0.0,0.0
28295,0.0,0.0
8231,0.0,0.0
52568,1.0,1.0
51973,1.0,1.0
13696,0.0,0.0
2867,0.0,0.0
65890,1.0,1.0
26814,0.0,0.0
33684,0.0,0.0
67219,1.0,1.0
54225,1.0,1.0
56763,1.0,1.0
36493,0.0,0.0
7478,0.0,0.0
67712,1.0,1.0
31517,0.0,0.0
45671,1.0,1.0
64604,1.0,1.0
33566,0.0,0.0
12146,0.0,0.0
22019,0.0,0.0
24893,0.0,0.0
26358,0.0,0.0
39404,1.0,1.0
16603,0.0,0.0
1971,0.0,0.0
54913,1.0,1.0
12241,0.0,0.0
21652,0.0,0.0
9272,0.0,0.0
29395,0.0,0.0
7768,0.0,0.0
24039,0.0,0.0
15649,0.0,0.0
51551,1.0,1.0
69167,1.0,1.0
43372,1.0,1.0
14690,0.0,0.0
3607,0.0,0.0
61798,1.0,1.0
54134,1.0,1.0
3160,0.0,0.0
58462,1.0,1.0
28259,0.0,0.0
14874,0.0,0.0
59435,1.0,1.0
6713,0.0,0.0
42445,1.0,1.0
71509,1.0,1.0
24817,0.0,0.0
35852,0.0,0.0
52170,1.0,1.0
8355,0.0,0.0
16826,0.0,0.0
46061,1.0,1.0
25482,0.0,0.0
54042,1.0,1.0
39081,1.0,1.0
73726,1.0,1.0
30765,0.0,0.0
51,0.0,0.0
69617,1.0,1.0
40694,1.0,1.0
6398,0.0,0.0
68498,1.0,1.0
42318,1.0,1.0
65672,1.0,1.0
66940,1.0,1.0
42252,1.0,1.0
15008,0.0,0.0
44548,1.0,1.0
34754,0.0,0.0
10674,0.0,0.0
9098,0.0,0.0
55245,1.0,1.0
56143,1.0,1.0
2554,0.0,0.0
66015,1.0,1.0
1925,0.0,0.0
62645,1.0,1.0
57697,1.0,1.0
23737,0.0,0.0
61182,1.0,1.0
68609,1.0,1.0
17020,0.0,0.0
15369,0.0,0.0
24330,0.0,0.0
35151,0.0,0.0
44777,1.0,1.0
72312,1.0,1.0
15508,0.0,0.0
72378,1.0,1.0
40931,1.0,1.0
75395,1.0,1.0
22101,0.0,0.0
9155,0.0,0.0
43452,1.0,1.0
67055,1.0,1.0
65163,1.0,1.0
71518,1.0,1.0
3294,0.0,0.0
36314,0.0,0.0
47180,1.0,1.0
3858,0.0,0.0
49425,1.0,1.0
18390,0.0,0.0
49324,1.0,1.0
66232,1.0,1.0
15554,0.0,0.0
63438,1.0,1.0
27447,0.0,0.0
321,0.0,0.0
56065,1.0,1.0
26359,0.0,0.0
54960,1.0,1.0
51372,1.0,1.0
15695,0.0,0.0
40342,1.0,1.0
69053,1.0,1.0
27263,0.0,0.0
26528,0.0,0.0
50301,1.0,0.0
37813,0.0,0.0
7422,0.0,0.0
40112,1.0,1.0
18068,0.0,0.0
4178,0.0,0.0
58707,1.0,1.0
8674,0.0,0.0
6769,0.0,0.0
10937,0.0,0.0
74240,1.0,1.0
37246,0.0,0.0
32298,0.0,0.0
62319,1.0,1.0
25284,0.0,0.0
58915,1.0,1.0
2545,0.0,0.0
47747,1.0,1.0
27280,0.0,0.0
52946,1.0,1.0
25270,0.0,0.0
37729,0.0,0.0
42515,1.0,1.0
47713,1.0,1.0
38695,1.0,1.0
68314,1.0,1.0
55624,1.0,1.0
52488,1.0,1.0
40762,1.0,1.0
18118,0.0,0.0
68614,1.0,1.0
32255,0.0,0.0
21835,0.0,0.0
31719,0.0,1.0
34598,0.0,0.0
39249,1.0,1.0
25057,0.0,0.0
32870,0.0,0.0
60099,1.0,1.0
69705,1.0,1.0
58504,1.0,0.0
8325,0.0,0.0
48597,1.0,1.0
66782,1.0,1.0
31701,0.0,0.0
36749,0.0,0.0
55649,1.0,1.0
36948,0.0,0.0
67878,1.0,1.0
29614,0.0,0.0
68172,1.0,1.0
63998,1.0,1.0
69032,1.0,1.0
15784,0.0,0.0
7349,0.0,0.0
53166,1.0,0.0
10703,0.0,0.0
68690,1.0,1.0
69635,1.0,1.0
43774,1.0,1.0
74267,1.0,1.0
52202,1.0,1.0
28408,0.0,0.0
45259,1.0,1.0
60145,1.0,1.0
71451,1.0,1.0
51316,1.0,1.0
15358,0.0,0.0
27020,0.0,0.0
30628,0.0,0.0
57970,1.0,1.0
21860,0.0,0.0
29331,0.0,0.0
46129,1.0,1.0
51514,1.0,1.0
44325,1.0,1.0
61716,1.0,1.0
61281,1.0,1.0
55550,1.0,1.0
2076,0.0,0.0
39051,1.0,1.0
56119,1.0,1.0
8866,0.0,0.0
20533,0.0,0.0
59291,1.0,1.0
71363,1.0,1.0
45604,1.0,1.0
26091,0.0,0.0
27699,0.0,0.0
39101,1.0,1.0
48277,1.0,1.0
8996,0.0,0.0
51743,1.0,1.0
28862,0.0,0.0
32260,0.0,0.0
48871,1.0,1.0
8951,0.0,0.0
38350,1.0,1.0
36708,0.0,0.0
52779,1.0,1.0
56591,1.0,1.0
28514,0.0,0.0
8185,0.0,0.0
20461,0.0,0.0
38387,1.0,1.0
73114,1.0,1.0
39760,1.0,1.0
55998,1.0,1.0
14129,0.0,0.0
32871,0.0,0.0
52008,1.0,0.0
72156,1.0,1.0
54795,1.0,1.0
55468,1.0,1.0
21604,0.0,0.0
28890,0.0,0.0
39748,1.0,1.0
20958,0.0,0.0
45104,1.0,1.0
3600,0.0,0.0
55887,1.0,1.0
58677,1.0,1.0
26399,0.0,0.0
25180,0.0,0.0
42832,1.0,1.0
824,0.0,0.0
73971,1.0,1.0
30029,0.0,0.0
72623,1.0,1.0
30943,0.0,0.0
9050,0.0,0.0
41661,1.0,1.0
1991,0.0,0.0
43178,1.0,1.0
70091,1.0,1.0
33027,0.0,0.0
60684,1.0,1.0
14581,0.0,0.0
32364,0.0,1.0
17513,0.0,0.0
43398,1.0,1.0
56956,1.0,1.0
7737,0.0,0.0
46877,1.0,1.0
47872,1.0,1.0
